Date : 2023-04-30 17:42:14
Directory : y:\研究生\跨越网关\代码\Gateway_System
Total : 320 files,  1097159 codes, 42011 comments, 242019 blanks, all 1381189 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
+------------------+------------+------------+------------+------------+------------+
| CSS              |         16 |    957,911 |     35,014 |    232,668 |  1,225,593 |
| JavaScript       |         77 |    129,927 |      6,517 |      7,029 |    143,473 |
| XML              |         10 |      3,557 |          3 |      1,669 |      5,229 |
| Log              |        179 |      2,835 |          0 |        223 |      3,058 |
| Python           |         29 |      1,638 |        445 |        382 |      2,465 |
| HTML             |          4 |      1,173 |         30 |         40 |      1,243 |
| Database         |          1 |         99 |          0 |          2 |        101 |
| Markdown         |          1 |          9 |          0 |          4 |         13 |
| pip requirements |          1 |          6 |          0 |          1 |          7 |
| Properties       |          2 |          4 |          2 |          1 |          7 |
+------------------+------------+------------+------------+------------+------------+

Directories
+---------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                            | files      | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                               |        320 |  1,097,159 |     42,011 |    242,019 |  1,381,189 |
| . (Files)                                                                                                                       |          5 |         50 |         16 |         18 |         84 |
| control                                                                                                                         |         15 |        831 |        285 |        227 |      1,343 |
| control\config                                                                                                                  |          1 |          1 |          2 |          1 |          4 |
| control\src                                                                                                                     |         14 |        830 |        283 |        226 |      1,339 |
| control\src (Files)                                                                                                             |          6 |        332 |        131 |        105 |        568 |
| control\src\backup                                                                                                              |          3 |        158 |         71 |         51 |        280 |
| control\src\driver                                                                                                              |          3 |        325 |         76 |         59 |        460 |
| control\src\tool                                                                                                                |          2 |         15 |          5 |         11 |         31 |
| db                                                                                                                              |          1 |         99 |          0 |          2 |        101 |
| logs                                                                                                                            |        179 |      2,835 |          0 |        223 |      3,058 |
| logs\device                                                                                                                     |         95 |      1,245 |          0 |        139 |      1,384 |
| logs\web                                                                                                                        |         84 |      1,590 |          0 |         84 |      1,674 |
| utils                                                                                                                           |          2 |         35 |          7 |          8 |         50 |
| web                                                                                                                             |        118 |  1,093,309 |     41,703 |    241,541 |  1,376,553 |
| web\app                                                                                                                         |        118 |  1,093,309 |     41,703 |    241,541 |  1,376,553 |
| web\app (Files)                                                                                                                 |          3 |        119 |         22 |         26 |        167 |
| web\app\models                                                                                                                  |          1 |        115 |         14 |         25 |        154 |
| web\app\static                                                                                                                  |        103 |  1,091,395 |     41,534 |    241,366 |  1,374,295 |
| web\app\static\device                                                                                                           |        101 |  1,091,105 |     41,518 |    241,364 |  1,373,987 |
| web\app\static\device\amis                                                                                                      |         87 |    943,858 |     35,846 |    231,918 |  1,211,622 |
| web\app\static\device\amis (Files)                                                                                              |         26 |    942,623 |     35,148 |    231,820 |  1,209,591 |
| web\app\static\device\amis\locale                                                                                               |          1 |        405 |          0 |          3 |        408 |
| web\app\static\device\amis\thirds                                                                                               |         60 |        830 |        698 |         95 |      1,623 |
| web\app\static\device\amis\thirds\hls.js                                                                                        |          1 |         92 |        273 |          0 |        365 |
| web\app\static\device\amis\thirds\monaco-editor                                                                                 |         58 |        736 |        418 |         95 |      1,249 |
| web\app\static\device\amis\thirds\monaco-editor\min                                                                             |         58 |        736 |        418 |         95 |      1,249 |
| web\app\static\device\amis\thirds\monaco-editor\min\vs                                                                          |         58 |        736 |        418 |         95 |      1,249 |
| web\app\static\device\amis\thirds\monaco-editor\min\vs (Files)                                                                  |          1 |          4 |          6 |          1 |         11 |
| web\app\static\device\amis\thirds\monaco-editor\min\vs\base                                                                     |          1 |          8 |          8 |          2 |         18 |
| web\app\static\device\amis\thirds\monaco-editor\min\vs\base\worker                                                              |          1 |          8 |          8 |          2 |         18 |
| web\app\static\device\amis\thirds\monaco-editor\min\vs\basic-languages                                                          |         44 |         44 |        267 |          0 |        311 |
| web\app\static\device\amis\thirds\monaco-editor\min\vs\basic-languages\apex                                                     |          1 |          1 |          6 |          0 |          7 |
| web\app\static\device\amis\thirds\monaco-editor\min\vs\basic-languages\azcli                                                    |          1 |          1 |          6 |          0 |          7 |
| web\app\static\device\amis\thirds\monaco-editor\min\vs\basic-languages\bat                                                      |          1 |          1 |          6 |          0 |          7 |
| web\app\static\device\amis\thirds\monaco-editor\min\vs\basic-languages\clojure                                                  |          1 |          1 |          6 |          0 |          7 |
| web\app\static\device\amis\thirds\monaco-editor\min\vs\basic-languages\coffee                                                   |          1 |          1 |          6 |          0 |          7 |
| web\app\static\device\amis\thirds\monaco-editor\min\vs\basic-languages\cpp                                                      |          1 |          1 |          6 |          0 |          7 |
| web\app\static\device\amis\thirds\monaco-editor\min\vs\basic-languages\csharp                                                   |          1 |          1 |          6 |          0 |          7 |
