"filename", "language", "pip requirements", "Python", "Database", "Log", "comment", "blank", "total"
"y:\研究生\跨越网关\代码\Gateway_System\control\src\config.py", "Python", 0, 2, 0, 0, 1, 0, 3
"y:\研究生\跨越网关\代码\Gateway_System\control\src\core_scheduling.py", "Python", 0, 73, 0, 0, -11, 5, 67
"y:\研究生\跨越网关\代码\Gateway_System\control\src\device_manager.py", "Python", 0, 5, 0, 0, 0, 1, 6
"y:\研究生\跨越网关\代码\Gateway_System\control\src\driver\bsp_underwater_acoustic_comm.py", "Python", 0, -2, 0, 0, -5, -2, -9
"y:\研究生\跨越网关\代码\Gateway_System\control\src\task_queue.py", "Python", 0, 31, 0, 0, 5, 6, 42
"y:\研究生\跨越网关\代码\Gateway_System\db\gateway.db", "Database", 0, 0, 2, 0, 0, 0, 2
"y:\研究生\跨越网关\代码\Gateway_System\logs\device\2023_04_30 13_22_36.log", "Log", 0, 0, 0, -2, 0, -1, -3
"y:\研究生\跨越网关\代码\Gateway_System\logs\device\2023_04_30 13_23_21.log", "Log", 0, 0, 0, -2, 0, -1, -3
"y:\研究生\跨越网关\代码\Gateway_System\logs\device\2023_04_30 13_23_23.log", "Log", 0, 0, 0, -2, 0, -1, -3
"y:\研究生\跨越网关\代码\Gateway_System\logs\device\2023_04_30 13_24_21.log", "Log", 0, 0, 0, -2, 0, -1, -3
"y:\研究生\跨越网关\代码\Gateway_System\logs\device\2023_04_30 13_27_59.log", "Log", 0, 0, 0, -2, 0, -1, -3
"y:\研究生\跨越网关\代码\Gateway_System\logs\device\2023_04_30 14_04_18.log", "Log", 0, 0, 0, -1, 0, -1, -2
"y:\研究生\跨越网关\代码\Gateway_System\logs\device\2023_04_30 14_05_18.log", "Log", 0, 0, 0, -1, 0, -1, -2
"y:\研究生\跨越网关\代码\Gateway_System\logs\device\2023_04_30 14_05_49.log", "Log", 0, 0, 0, -2, 0, -1, -3
"y:\研究生\跨越网关\代码\Gateway_System\logs\device\2023_04_30 14_07_02.log", "Log", 0, 0, 0, -6, 0, -1, -7
"y:\研究生\跨越网关\代码\Gateway_System\logs\device\2023_04_30 14_07_24.log", "Log", 0, 0, 0, -6, 0, -1, -7
"y:\研究生\跨越网关\代码\Gateway_System\logs\device\2023_04_30 14_15_19.log", "Log", 0, 0, 0, -6, 0, -1, -7
"y:\研究生\跨越网关\代码\Gateway_System\logs\device\2023_04_30 14_15_35.log", "Log", 0, 0, 0, -6, 0, -1, -7
"y:\研究生\跨越网关\代码\Gateway_System\logs\device\2023_04_30 14_16_32.log", "Log", 0, 0, 0, -6, 0, -1, -7
"y:\研究生\跨越网关\代码\Gateway_System\logs\device\2023_04_30 14_18_33.log", "Log", 0, 0, 0, -1, 0, -1, -2
"y:\研究生\跨越网关\代码\Gateway_System\logs\device\2023_04_30 14_21_10.log", "Log", 0, 0, 0, -1, 0, -1, -2
"y:\研究生\跨越网关\代码\Gateway_System\logs\device\2023_04_30 14_26_35.log", "Log", 0, 0, 0, -1, 0, -1, -2
"y:\研究生\跨越网关\代码\Gateway_System\logs\device\2023_04_30 14_29_47.log", "Log", 0, 0, 0, -4, 0, -1, -5
"y:\研究生\跨越网关\代码\Gateway_System\logs\device\2023_04_30 14_29_59.log", "Log", 0, 0, 0, -1, 0, -1, -2
"y:\研究生\跨越网关\代码\Gateway_System\logs\device\2023_04_30 14_32_59.log", "Log", 0, 0, 0, -2, 0, -1, -3
"y:\研究生\跨越网关\代码\Gateway_System\logs\device\2023_04_30 14_33_49.log", "Log", 0, 0, 0, -2, 0, -1, -3
"y:\研究生\跨越网关\代码\Gateway_System\logs\device\2023_04_30 14_34_01.log", "Log", 0, 0, 0, -2, 0, -1, -3
"y:\研究生\跨越网关\代码\Gateway_System\logs\device\2023_04_30 14_34_43.log", "Log", 0, 0, 0, -3, 0, -1, -4
"y:\研究生\跨越网关\代码\Gateway_System\logs\device\2023_04_30 14_35_24.log", "Log", 0, 0, 0, -3, 0, -1, -4
"y:\研究生\跨越网关\代码\Gateway_System\logs\device\2023_04_30 14_37_06.log", "Log", 0, 0, 0, -3, 0, -1, -4
"y:\研究生\跨越网关\代码\Gateway_System\logs\device\2023_04_30 14_38_46.log", "Log", 0, 0, 0, -40, 0, -1, -41
"y:\研究生\跨越网关\代码\Gateway_System\logs\device\2023_04_30 14_40_38.log", "Log", 0, 0, 0, -40, 0, -1, -41
"y:\研究生\跨越网关\代码\Gateway_System\logs\device\2023_04_30 14_47_32.log", "Log", 0, 0, 0, -41, 0, -1, -42
"y:\研究生\跨越网关\代码\Gateway_System\logs\device\2023_04_30 14_48_22.log", "Log", 0, 0, 0, -3, 0, -1, -4
"y:\研究生\跨越网关\代码\Gateway_System\logs\device\2023_04_30 14_50_52.log", "Log", 0, 0, 0, -3, 0, -1, -4
"y:\研究生\跨越网关\代码\Gateway_System\logs\device\2023_04_30 14_56_52.log", "Log", 0, 0, 0, -3, 0, -1, -4
"y:\研究生\跨越网关\代码\Gateway_System\logs\device\2023_04_30 14_59_12.log", "Log", 0, 0, 0, -15, 0, -1, -16
"y:\研究生\跨越网关\代码\Gateway_System\logs\device\2023_04_30 14_59_32.log", "Log", 0, 0, 0, -3, 0, -1, -4
"y:\研究生\跨越网关\代码\Gateway_System\logs\device\2023_04_30 15_02_47.log", "Log", 0, 0, 0, -3, 0, -1, -4
"y:\研究生\跨越网关\代码\Gateway_System\logs\device\2023_04_30 15_03_09.log", "Log", 0, 0, 0, -3, 0, -1, -4
"y:\研究生\跨越网关\代码\Gateway_System\logs\device\2023_04_30 15_03_43.log", "Log", 0, 0, 0, -4, 0, -1, -5
"y:\研究生\跨越网关\代码\Gateway_System\logs\device\2023_04_30 15_04_30.log", "Log", 0, 0, 0, -4, 0, -1, -5
"y:\研究生\跨越网关\代码\Gateway_System\logs\device\2023_04_30 15_21_41.log", "Log", 0, 0, 0, -19, 0, -1, -20
"y:\研究生\跨越网关\代码\Gateway_System\logs\device\2023_04_30 15_31_59.log", "Log", 0, 0, 0, -10, 0, -1, -11
"y:\研究生\跨越网关\代码\Gateway_System\logs\device\2023_04_30 15_35_51.log", "Log", 0, 0, 0, -10, 0, -1, -11
"y:\研究生\跨越网关\代码\Gateway_System\logs\device\2023_04_30 15_41_20.log", "Log", 0, 0, 0, -10, 0, -1, -11
"y:\研究生\跨越网关\代码\Gateway_System\logs\device\2023_04_30 15_47_05.log", "Log", 0, 0, 0, -10, 0, -1, -11
"y:\研究生\跨越网关\代码\Gateway_System\logs\device\2023_04_30 15_55_27.log", "Log", 0, 0, 0, -10, 0, -1, -11
"y:\研究生\跨越网关\代码\Gateway_System\logs\device\2023_04_30 16_03_33.log", "Log", 0, 0, 0, -11, 0, -1, -12
"y:\研究生\跨越网关\代码\Gateway_System\logs\device\2023_04_30 16_03_51.log", "Log", 0, 0, 0, -11, 0, -1, -12
"y:\研究生\跨越网关\代码\Gateway_System\logs\device\2023_04_30 16_05_49.log", "Log", 0, 0, 0, -11, 0, -1, -12
"y:\研究生\跨越网关\代码\Gateway_System\logs\device\2023_04_30 16_06_44.log", "Log", 0, 0, 0, -11, 0, -1, -12
"y:\研究生\跨越网关\代码\Gateway_System\logs\device\2023_04_30 16_07_18.log", "Log", 0, 0, 0, -11, 0, -1, -12
"y:\研究生\跨越网关\代码\Gateway_System\logs\device\2023_04_30 16_08_22.log", "Log", 0, 0, 0, -10, 0, -1, -11
"y:\研究生\跨越网关\代码\Gateway_System\logs\device\2023_04_30 16_10_08.log", "Log", 0, 0, 0, -10, 0, -1, -11
"y:\研究生\跨越网关\代码\Gateway_System\logs\device\2023_04_30 16_10_27.log", "Log", 0, 0, 0, -10, 0, -1, -11
"y:\研究生\跨越网关\代码\Gateway_System\logs\device\2023_04_30 16_11_25.log", "Log", 0, 0, 0, -11, 0, -1, -12
"y:\研究生\跨越网关\代码\Gateway_System\logs\device\2023_04_30 16_11_50.log", "Log", 0, 0, 0, -10, 0, -1, -11
"y:\研究生\跨越网关\代码\Gateway_System\logs\device\2023_04_30 16_12_00.log", "Log", 0, 0, 0, -11, 0, -1, -12
"y:\研究生\跨越网关\代码\Gateway_System\logs\device\2023_04_30 16_14_26.log", "Log", 0, 0, 0, -12, 0, -1, -13
"y:\研究生\跨越网关\代码\Gateway_System\logs\device\2023_04_30 16_16_51.log", "Log", 0, 0, 0, -12, 0, -1, -13
"y:\研究生\跨越网关\代码\Gateway_System\logs\device\2023_04_30 16_18_37.log", "Log", 0, 0, 0, -11, 0, -1, -12
"y:\研究生\跨越网关\代码\Gateway_System\logs\device\2023_04_30 16_20_10.log", "Log", 0, 0, 0, -14, 0, -1, -15
"y:\研究生\跨越网关\代码\Gateway_System\logs\device\2023_04_30 16_21_13.log", "Log", 0, 0, 0, -10, 0, -1, -11
"y:\研究生\跨越网关\代码\Gateway_System\logs\device\2023_04_30 16_21_31.log", "Log", 0, 0, 0, -12, 0, -1, -13
"y:\研究生\跨越网关\代码\Gateway_System\logs\device\2023_04_30 16_27_54.log", "Log", 0, 0, 0, -10, 0, -1, -11
"y:\研究生\跨越网关\代码\Gateway_System\logs\device\2023_04_30 16_29_43.log", "Log", 0, 0, 0, -10, 0, -1, -11
"y:\研究生\跨越网关\代码\Gateway_System\logs\device\2023_04_30 16_32_43.log", "Log", 0, 0, 0, -10, 0, -1, -11
"y:\研究生\跨越网关\代码\Gateway_System\logs\device\2023_04_30 16_32_54.log", "Log", 0, 0, 0, -10, 0, -1, -11
"y:\研究生\跨越网关\代码\Gateway_System\logs\device\2023_04_30 16_34_30.log", "Log", 0, 0, 0, -10, 0, -1, -11
"y:\研究生\跨越网关\代码\Gateway_System\logs\device\2023_04_30 16_35_33.log", "Log", 0, 0, 0, -12, 0, -1, -13
"y:\研究生\跨越网关\代码\Gateway_System\logs\device\2023_04_30 16_37_03.log", "Log", 0, 0, 0, -12, 0, -1, -13
"y:\研究生\跨越网关\代码\Gateway_System\logs\device\2023_04_30 16_39_21.log", "Log", 0, 0, 0, -12, 0, -1, -13
"y:\研究生\跨越网关\代码\Gateway_System\logs\device\2023_04_30 16_41_22.log", "Log", 0, 0, 0, -40, 0, -1, -41
"y:\研究生\跨越网关\代码\Gateway_System\logs\device\2023_04_30 16_50_43.log", "Log", 0, 0, 0, -13, 0, -1, -14
"y:\研究生\跨越网关\代码\Gateway_System\logs\device\2023_04_30 16_59_14.log", "Log", 0, 0, 0, -13, 0, -1, -14
"y:\研究生\跨越网关\代码\Gateway_System\logs\device\2023_04_30 17_01_11.log", "Log", 0, 0, 0, -12, 0, -1, -13
"y:\研究生\跨越网关\代码\Gateway_System\logs\device\2023_04_30 17_01_37.log", "Log", 0, 0, 0, -38, 0, -5, -43
"y:\研究生\跨越网关\代码\Gateway_System\logs\device\2023_04_30 17_05_17.log", "Log", 0, 0, 0, -65, 0, -9, -74
"y:\研究生\跨越网关\代码\Gateway_System\logs\device\2023_04_30 17_06_44.log", "Log", 0, 0, 0, -13, 0, -1, -14
"y:\研究生\跨越网关\代码\Gateway_System\logs\device\2023_04_30 17_07_20.log", "Log", 0, 0, 0, -11, 0, -1, -12
"y:\研究生\跨越网关\代码\Gateway_System\logs\device\2023_04_30 17_09_13.log", "Log", 0, 0, 0, -3, 0, -1, -4
"y:\研究生\跨越网关\代码\Gateway_System\logs\device\2023_04_30 17_09_41.log", "Log", 0, 0, 0, -38, 0, -5, -43
"y:\研究生\跨越网关\代码\Gateway_System\logs\device\2023_04_30 17_10_14.log", "Log", 0, 0, 0, -12, 0, -1, -13
"y:\研究生\跨越网关\代码\Gateway_System\logs\device\2023_04_30 17_11_13.log", "Log", 0, 0, 0, -38, 0, -5, -43
"y:\研究生\跨越网关\代码\Gateway_System\logs\device\2023_04_30 17_13_28.log", "Log", 0, 0, 0, -38, 0, -5, -43
"y:\研究生\跨越网关\代码\Gateway_System\logs\device\2023_04_30 17_14_20.log", "Log", 0, 0, 0, -38, 0, -5, -43
"y:\研究生\跨越网关\代码\Gateway_System\logs\device\2023_04_30 17_15_34.log", "Log", 0, 0, 0, -65, 0, -9, -74
"y:\研究生\跨越网关\代码\Gateway_System\logs\device\2023_04_30 17_16_26.log", "Log", 0, 0, 0, -38, 0, -5, -43
"y:\研究生\跨越网关\代码\Gateway_System\logs\device\2023_04_30 17_18_16.log", "Log", 0, 0, 0, -12, 0, -1, -13
"y:\研究生\跨越网关\代码\Gateway_System\logs\device\2023_04_30 17_19_39.log", "Log", 0, 0, 0, -37, 0, -3, -40
"y:\研究生\跨越网关\代码\Gateway_System\logs\device\2023_04_30 17_20_26.log", "Log", 0, 0, 0, -12, 0, -1, -13
"y:\研究生\跨越网关\代码\Gateway_System\logs\device\2023_04_30 17_21_31.log", "Log", 0, 0, 0, -12, 0, -1, -13
"y:\研究生\跨越网关\代码\Gateway_System\logs\device\2023_04_30 17_22_40.log", "Log", 0, 0, 0, -33, 0, -3, -36
"y:\研究生\跨越网关\代码\Gateway_System\logs\device\2023_04_30 17_23_54.log", "Log", 0, 0, 0, -12, 0, -1, -13
"y:\研究生\跨越网关\代码\Gateway_System\logs\device\2023_04_30 17_25_17.log", "Log", 0, 0, 0, -13, 0, -1, -14
"y:\研究生\跨越网关\代码\Gateway_System\logs\device\2023_04_30 17_26_13.log", "Log", 0, 0, 0, -13, 0, -1, -14
"y:\研究生\跨越网关\代码\Gateway_System\logs\device\2023_04_30 17_26_42.log", "Log", 0, 0, 0, -13, 0, -1, -14
"y:\研究生\跨越网关\代码\Gateway_System\logs\device\2023_04_30 17_27_56.log", "Log", 0, 0, 0, -13, 0, -1, -14
"y:\研究生\跨越网关\代码\Gateway_System\logs\device\2023_04_30 17_32_30.log", "Log", 0, 0, 0, -14, 0, -1, -15
"y:\研究生\跨越网关\代码\Gateway_System\logs\device\2023_04_30 17_32_52.log", "Log", 0, 0, 0, -14, 0, -1, -15
"y:\研究生\跨越网关\代码\Gateway_System\logs\device\2023_04_30 20_24_45.log", "Log", 0, 0, 0, 32, 0, 1, 33
"y:\研究生\跨越网关\代码\Gateway_System\logs\device\2023_04_30 20_35_01.log", "Log", 0, 0, 0, 47, 0, 1, 48
"y:\研究生\跨越网关\代码\Gateway_System\logs\device\2023_04_30 21_05_56.log", "Log", 0, 0, 0, 11, 0, 1, 12
"y:\研究生\跨越网关\代码\Gateway_System\logs\device\2023_04_30 21_06_44.log", "Log", 0, 0, 0, 90, 0, 1, 91
"y:\研究生\跨越网关\代码\Gateway_System\logs\device\2023_04_30 21_10_35.log", "Log", 0, 0, 0, 20, 0, 1, 21
"y:\研究生\跨越网关\代码\Gateway_System\logs\device\2023_04_30 21_14_41.log", "Log", 0, 0, 0, 27, 0, 1, 28
"y:\研究生\跨越网关\代码\Gateway_System\logs\device\2023_04_30 21_20_02.log", "Log", 0, 0, 0, 19, 0, 1, 20
"y:\研究生\跨越网关\代码\Gateway_System\logs\device\2023_04_30 21_26_02.log", "Log", 0, 0, 0, 19, 0, 1, 20
"y:\研究生\跨越网关\代码\Gateway_System\logs\device\2023_04_30 21_27_07.log", "Log", 0, 0, 0, 11, 0, 1, 12
"y:\研究生\跨越网关\代码\Gateway_System\logs\device\2023_04_30 21_28_43.log", "Log", 0, 0, 0, 11, 0, 1, 12
"y:\研究生\跨越网关\代码\Gateway_System\logs\device\2023_04_30 21_29_30.log", "Log", 0, 0, 0, 11, 0, 1, 12
"y:\研究生\跨越网关\代码\Gateway_System\logs\device\2023_04_30 21_31_01.log", "Log", 0, 0, 0, 11, 0, 1, 12
"y:\研究生\跨越网关\代码\Gateway_System\logs\device\2023_04_30 21_32_14.log", "Log", 0, 0, 0, 13, 0, 1, 14
"y:\研究生\跨越网关\代码\Gateway_System\logs\device\2023_04_30 21_32_42.log", "Log", 0, 0, 0, 21, 0, 1, 22
"y:\研究生\跨越网关\代码\Gateway_System\logs\device\2023_04_30 21_36_31.log", "Log", 0, 0, 0, 21, 0, 1, 22
"y:\研究生\跨越网关\代码\Gateway_System\logs\device\2023_04_30 21_37_14.log", "Log", 0, 0, 0, 20, 0, 1, 21
"y:\研究生\跨越网关\代码\Gateway_System\logs\device\2023_04_30 22_16_21.log", "Log", 0, 0, 0, 13, 0, 1, 14
"y:\研究生\跨越网关\代码\Gateway_System\logs\device\2023_04_30 22_17_02.log", "Log", 0, 0, 0, 12, 0, 1, 13
"y:\研究生\跨越网关\代码\Gateway_System\logs\device\2023_04_30 22_18_32.log", "Log", 0, 0, 0, 14, 0, 1, 15
