Date : 2023-05-11 20:12:29
Directory : y:\Studyplace_Web_Development\Gateway_System
Total : 138 files,  1094354 codes, 41925 comments, 241753 blanks, all 1378032 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
+------------------+------------+------------+------------+------------+------------+
| CSS              |         16 |    957,911 |     35,014 |    232,668 |  1,225,593 |
| JavaScript       |         77 |    129,927 |      6,517 |      7,029 |    143,473 |
| XML              |         10 |      3,557 |          3 |      1,669 |      5,229 |
| Python           |         27 |      1,655 |        359 |        338 |      2,352 |
| HTML             |          4 |      1,173 |         30 |         40 |      1,243 |
| Database         |          1 |        110 |          0 |          0 |        110 |
| Markdown         |          1 |         12 |          0 |          7 |         19 |
| pip requirements |          1 |          8 |          0 |          1 |          9 |
| Properties       |          1 |          1 |          2 |          1 |          4 |
+------------------+------------+------------+------------+------------+------------+

Directories
+------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                           | files      | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                              |        138 |  1,094,354 |     41,925 |    241,753 |  1,378,032 |
| . (Files)                                                                                                                                      |          4 |         50 |          6 |         17 |         73 |
| control                                                                                                                                        |         14 |        839 |        208 |        182 |      1,229 |
| control\config                                                                                                                                 |          1 |          1 |          2 |          1 |          4 |
| control\src                                                                                                                                    |         13 |        838 |        206 |        181 |      1,225 |
| control\src (Files)                                                                                                                            |          5 |        400 |        113 |         88 |        601 |
| control\src\driver                                                                                                                             |          3 |        328 |         71 |         58 |        457 |
| control\src\models                                                                                                                             |          1 |         47 |          8 |          7 |         62 |
| control\src\tool                                                                                                                               |          2 |         15 |          5 |         11 |         31 |
| control\src\utils                                                                                                                              |          2 |         48 |          9 |         17 |         74 |
| db                                                                                                                                             |          1 |        110 |          0 |          0 |        110 |
| web                                                                                                                                            |        119 |  1,093,355 |     41,711 |    241,554 |  1,376,620 |
| web\app                                                                                                                                        |        119 |  1,093,355 |     41,711 |    241,554 |  1,376,620 |
| web\app (Files)                                                                                                                                |          3 |        128 |         24 |         29 |        181 |
| web\app\models                                                                                                                                 |          1 |        115 |         14 |         25 |        154 |
| web\app\static                                                                                                                                 |        103 |  1,091,395 |     41,534 |    241,366 |  1,374,295 |
| web\app\static\device                                                                                                                          |        101 |  1,091,105 |     41,518 |    241,364 |  1,373,987 |
| web\app\static\device\amis                                                                                                                     |         87 |    943,858 |     35,846 |    231,918 |  1,211,622 |
| web\app\static\device\amis (Files)                                                                                                             |         26 |    942,623 |     35,148 |    231,820 |  1,209,591 |
| web\app\static\device\amis\locale                                                                                                              |          1 |        405 |          0 |          3 |        408 |
| web\app\static\device\amis\thirds                                                                                                              |         60 |        830 |        698 |         95 |      1,623 |
| web\app\static\device\amis\thirds\hls.js                                                                                                       |          1 |         92 |        273 |          0 |        365 |
| web\app\static\device\amis\thirds\monaco-editor                                                                                                |         58 |        736 |        418 |         95 |      1,249 |
| web\app\static\device\amis\thirds\monaco-editor\min                                                                                            |         58 |        736 |        418 |         95 |      1,249 |
| web\app\static\device\amis\thirds\monaco-editor\min\vs                                                                                         |         58 |        736 |        418 |         95 |      1,249 |
| web\app\static\device\amis\thirds\monaco-editor\min\vs (Files)                                                                                 |          1 |          4 |          6 |          1 |         11 |
| web\app\static\device\amis\thirds\monaco-editor\min\vs\base                                                                                    |          1 |          8 |          8 |          2 |         18 |
| web\app\static\device\amis\thirds\monaco-editor\min\vs\base\worker                                                                             |          1 |          8 |          8 |          2 |         18 |
| web\app\static\device\amis\thirds\monaco-editor\min\vs\basic-languages                                                                         |         44 |         44 |        267 |          0 |        311 |
| web\app\static\device\amis\thirds\monaco-editor\min\vs\basic-languages\apex                                                                    |          1 |          1 |          6 |          0 |          7 |
| web\app\static\device\amis\thirds\monaco-editor\min\vs\basic-languages\azcli                                                                   |          1 |          1 |          6 |          0 |          7 |
| web\app\static\device\amis\thirds\monaco-editor\min\vs\basic-languages\bat                                                                     |          1 |          1 |          6 |          0 |          7 |
| web\app\static\device\amis\thirds\monaco-editor\min\vs\basic-languages\clojure                                                                 |          1 |          1 |          6 |          0 |          7 |
| web\app\static\device\amis\thirds\monaco-editor\min\vs\basic-languages\coffee                                                                  |          1 |          1 |          6 |          0 |          7 |
| web\app\static\device\amis\thirds\monaco-editor\min\vs\basic-languages\cpp                                                                     |          1 |          1 |          6 |          0 |          7 |
| web\app\static\device\amis\thirds\monaco-editor\min\vs\basic-languages\csharp                                                                  |          1 |          1 |          6 |          0 |          7 |
| web\app\static\device\amis\thirds\monaco-editor\min\vs\basic-languages\css                                                                     |          1 |          1 |          6 |          0 |          7 |
| web\app\static\device\amis\thirds\monaco-editor\min\vs\basic-languages\dockerfile                                                              |          1 |          1 |          6 |          0 |          7 |
